"module name","license","repository"
"@fortawesome/fontawesome-free@5.10.1","(CC-BY-4.0 AND OFL-1.1 AND MIT)","https://github.com/FortAwesome/Font-Awesome"
"accepts@1.3.7","MIT","https://github.com/jshttp/accepts"
"agent-base@2.1.1","MIT","https://github.com/TooTallNate/node-agent-base"
"ajv@6.10.0","MIT","https://github.com/epoberezkin/ajv"
"animsition@4.0.2","MIT","https://github.com/blivesta/animsition"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"asn1@0.2.4","MIT","https://github.com/joyent/node-asn1"
"assert-plus@1.0.0","MIT","https://github.com/mcavage/node-assert-plus"
"assertion-error@1.1.0","MIT","https://github.com/chaijs/assertion-error"
"async@2.6.3","MIT","https://github.com/caolan/async"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"aws-sign2@0.7.0","Apache-2.0","https://github.com/mikeal/aws-sign"
"aws4@1.8.0","MIT","https://github.com/mhart/aws4"
"basic-auth@2.0.1","MIT","https://github.com/jshttp/basic-auth"
"bcrypt-pbkdf@1.0.2","BSD-3-Clause","https://github.com/joyent/node-bcrypt-pbkdf"
"billboard.js@1.10.1","MIT","https://github.com/naver/billboard.js"
"biqapp@0.0.0","UNLICENSED",""
"body-parser@1.19.0","MIT","https://github.com/expressjs/body-parser"
"body-parser@1.8.4","MIT","https://github.com/expressjs/body-parser"
"bootstrap@3.4.1","MIT","https://github.com/twbs/bootstrap"
"bytes@1.0.0","MIT*","https://github.com/visionmedia/bytes.js"
"bytes@3.1.0","MIT","https://github.com/visionmedia/bytes.js"
"c3@0.4.23","MIT","https://github.com/c3js/c3"
"caseless@0.12.0","Apache-2.0","https://github.com/mikeal/caseless"
"chai@3.5.0","MIT","https://github.com/chaijs/chai"
"chartcollection@0.1.9","Public Domain","https://github.com/drarmstr/chartcollection"
"clipboard@2.0.4","MIT","https://github.com/zenorocha/clipboard.js"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"commander@0.6.1","MIT*","https://github.com/visionmedia/commander.js"
"commander@2.20.0","MIT","https://github.com/tj/commander.js"
"commander@2.3.0","MIT*","https://github.com/visionmedia/commander.js"
"content-disposition@0.5.3","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.4","MIT","https://github.com/jshttp/content-type"
"cookie-parser@1.4.4","MIT","https://github.com/expressjs/cookie-parser"
"cookie-signature@1.0.6","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.3.1","MIT","https://github.com/jshttp/cookie"
"cookie@0.4.0","MIT","https://github.com/jshttp/cookie"
"core-util-is@1.0.2","MIT","https://github.com/isaacs/core-util-is"
"d3-array@1.2.4","BSD-3-Clause","https://github.com/d3/d3-array"
"d3-axis@1.0.12","BSD-3-Clause","https://github.com/d3/d3-axis"
"d3-brush@1.1.2","BSD-3-Clause","https://github.com/d3/d3-brush"
"d3-chord@1.0.6","BSD-3-Clause","https://github.com/d3/d3-chord"
"d3-collection@1.0.7","BSD-3-Clause","https://github.com/d3/d3-collection"
"d3-color@1.3.0","BSD-3-Clause","https://github.com/d3/d3-color"
"d3-contour@1.3.2","BSD-3-Clause","https://github.com/d3/d3-contour"
"d3-dispatch@1.0.5","BSD-3-Clause","https://github.com/d3/d3-dispatch"
"d3-drag@1.2.4","BSD-3-Clause","https://github.com/d3/d3-drag"
"d3-dsv@1.1.1","BSD-3-Clause","https://github.com/d3/d3-dsv"
"d3-ease@1.0.5","BSD-3-Clause","https://github.com/d3/d3-ease"
"d3-fetch@1.1.2","BSD-3-Clause","https://github.com/d3/d3-fetch"
"d3-force@1.2.1","BSD-3-Clause","https://github.com/d3/d3-force"
"d3-format@1.3.2","BSD-3-Clause","https://github.com/d3/d3-format"
"d3-geo@1.11.6","BSD-3-Clause","https://github.com/d3/d3-geo"
"d3-hierarchy@1.1.8","BSD-3-Clause","https://github.com/d3/d3-hierarchy"
"d3-interpolate@1.3.2","BSD-3-Clause","https://github.com/d3/d3-interpolate"
"d3-path@1.0.8","BSD-3-Clause","https://github.com/d3/d3-path"
"d3-polygon@1.0.5","BSD-3-Clause","https://github.com/d3/d3-polygon"
"d3-quadtree@1.0.6","BSD-3-Clause","https://github.com/d3/d3-quadtree"
"d3-random@1.1.2","BSD-3-Clause","https://github.com/d3/d3-random"
"d3-scale-chromatic@1.4.0","BSD-3-Clause","https://github.com/d3/d3-scale-chromatic"
"d3-scale@2.2.2","BSD-3-Clause","https://github.com/d3/d3-scale"
"d3-selection@1.4.0","BSD-3-Clause","https://github.com/d3/d3-selection"
"d3-shape@1.3.5","BSD-3-Clause","https://github.com/d3/d3-shape"
"d3-time-format@2.1.3","BSD-3-Clause","https://github.com/d3/d3-time-format"
"d3-time@1.0.11","BSD-3-Clause","https://github.com/d3/d3-time"
"d3-timer@1.0.9","BSD-3-Clause","https://github.com/d3/d3-timer"
"d3-transition@1.2.0","BSD-3-Clause","https://github.com/d3/d3-transition"
"d3-voronoi@1.1.4","BSD-3-Clause","https://github.com/d3/d3-voronoi"
"d3-zoom@1.8.3","BSD-3-Clause","https://github.com/d3/d3-zoom"
"d3@3.5.17","BSD-3-Clause","https://github.com/mbostock/d3"
"d3@5.9.7","BSD-3-Clause","https://github.com/d3/d3"
"dashdash@1.14.1","MIT","https://github.com/trentm/node-dashdash"
"datatables@1.10.18","MIT","https://github.com/DataTables/DataTables"
"debug@2.2.0","MIT","https://github.com/visionmedia/debug"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"deep-eql@0.1.3","MIT","https://github.com/chaijs/deep-eql"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"delegate@3.2.0","MIT","https://github.com/zenorocha/delegate"
"depd@0.4.5","MIT","https://github.com/dougwilson/nodejs-depd"
"depd@1.1.2","MIT","https://github.com/dougwilson/nodejs-depd"
"destroy@1.0.4","MIT","https://github.com/stream-utils/destroy"
"detect-libc@1.0.3","Apache-2.0","https://github.com/lovell/detect-libc"
"diff@1.4.0","BSD","https://github.com/kpdecker/jsdiff"
"ecc-jsbn@0.1.2","MIT","https://github.com/quartzjer/ecc-jsbn"
"ee-first@1.0.5","MIT","https://github.com/jonathanong/ee-first"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first"
"ejs@2.6.2","Apache-2.0","https://github.com/mde/ejs"
"encodeurl@1.0.2","MIT","https://github.com/pillarjs/encodeurl"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html"
"escape-string-regexp@1.0.2","MIT","https://github.com/sindresorhus/escape-string-regexp"
"etag@1.8.1","MIT","https://github.com/jshttp/etag"
"express@4.17.1","MIT","https://github.com/expressjs/express"
"extend@3.0.2","MIT","https://github.com/justmoon/node-extend"
"extsprintf@1.3.0","MIT","https://github.com/davepacheco/node-extsprintf"
"fast-deep-equal@2.0.1","MIT","https://github.com/epoberezkin/fast-deep-equal"
"fast-json-stable-stringify@2.0.0","MIT","https://github.com/epoberezkin/fast-json-stable-stringify"
"fibers@4.0.1","MIT","https://github.com/laverdet/node-fibers"
"finalhandler@1.1.2","MIT","https://github.com/pillarjs/finalhandler"
"font-awesome@4.7.0","(OFL-1.1 AND MIT)","https://github.com/FortAwesome/Font-Awesome"
"forever-agent@0.6.1","Apache-2.0","https://github.com/mikeal/forever-agent"
"form-data@2.3.3","MIT","https://github.com/form-data/form-data"
"forwarded@0.1.2","MIT","https://github.com/jshttp/forwarded"
"fresh@0.5.2","MIT","https://github.com/jshttp/fresh"
"getpass@0.1.7","MIT","https://github.com/arekinath/node-getpass"
"glob@3.2.11","BSD*","https://github.com/isaacs/node-glob"
"good-listener@1.2.2","MIT","https://github.com/zenorocha/good-listener"
"growl@1.10.5","MIT","https://github.com/tj/node-growl"
"growl@1.9.2","MIT","https://github.com/tj/node-growl"
"har-schema@2.0.0","ISC","https://github.com/ahmadnassri/har-schema"
"har-validator@5.1.3","MIT","https://github.com/ahmadnassri/node-har-validator"
"hoek@4.2.1","BSD-3-Clause","https://github.com/hapijs/hoek"
"http-debug@0.1.2","MIT","https://github.com/jmervine/node-http-debug"
"http-errors@1.6.3","MIT","https://github.com/jshttp/http-errors"
"http-errors@1.7.2","MIT","https://github.com/jshttp/http-errors"
"http-proxy-agent@1.0.0","MIT","https://github.com/TooTallNate/node-http-proxy-agent"
"http-signature@1.2.0","MIT","https://github.com/joyent/node-http-signature"
"https-proxy-agent@1.0.0","MIT","https://github.com/TooTallNate/node-https-proxy-agent"
"iconv-lite@0.4.24","MIT","https://github.com/ashtuchkin/iconv-lite"
"iconv-lite@0.4.4","MIT","https://github.com/ashtuchkin/iconv-lite"
"inherits@2.0.3","ISC","https://github.com/isaacs/inherits"
"ipaddr.js@1.9.0","MIT","https://github.com/whitequark/ipaddr.js"
"is-typedarray@1.0.0","MIT","https://github.com/hughsk/is-typedarray"
"isarray@0.0.1","MIT","https://github.com/juliangruber/isarray"
"isarray@1.0.0","MIT","https://github.com/juliangruber/isarray"
"isstream@0.1.2","MIT","https://github.com/rvagg/isstream"
"jade@0.26.3","MIT*","https://github.com/visionmedia/jade"
"jquery-ui@1.12.1","MIT","https://github.com/jquery/jquery-ui"
"jquery@3.4.1","MIT","https://github.com/jquery/jquery"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"jsbn@0.1.1","MIT","https://github.com/andyperlitch/jsbn"
"json-schema-traverse@0.4.1","MIT","https://github.com/epoberezkin/json-schema-traverse"
"json-schema@0.2.3","AFLv2.1,BSD","https://github.com/kriszyp/json-schema"
"json-stringify-safe@5.0.1","ISC","https://github.com/isaacs/json-stringify-safe"
"jsprim@1.4.1","MIT","https://github.com/joyent/node-jsprim"
"jsrender@1.0.4","MIT","https://github.com/borismoore/jsrender"
"leaflet@1.5.1","BSD-2-Clause","https://github.com/Leaflet/Leaflet"
"lodash@4.17.15","MIT","https://github.com/lodash/lodash"
"log4js@0.6.38","Apache-2.0","https://github.com/nomiddlename/log4js-node"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"lru-cache@2.7.3","ISC","https://github.com/isaacs/node-lru-cache"
"media-typer@0.3.0","MIT","https://github.com/jshttp/media-typer"
"merge-descriptors@1.0.1","MIT","https://github.com/component/merge-descriptors"
"methods@1.1.2","MIT","https://github.com/jshttp/methods"
"mime-db@1.12.0","MIT","https://github.com/jshttp/mime-db"
"mime-db@1.40.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.0.14","MIT","https://github.com/jshttp/mime-types"
"mime-types@2.1.24","MIT","https://github.com/jshttp/mime-types"
"mime@1.4.1","MIT","https://github.com/broofa/node-mime"
"mime@1.6.0","MIT","https://github.com/broofa/node-mime"
"minimatch@0.3.0","MIT","https://github.com/isaacs/minimatch"
"minimist@0.0.8","MIT","https://github.com/substack/minimist"
"mkdirp@0.3.0","MIT*","https://github.com/substack/node-mkdirp"
"mkdirp@0.5.1","MIT","https://github.com/substack/node-mkdirp"
"mocha@2.5.3","MIT","https://github.com/mochajs/mocha"
"moment@2.19.4","MIT","https://github.com/moment/moment"
"morgan@1.9.1","MIT","https://github.com/expressjs/morgan"
"ms@0.7.1","MIT*","https://github.com/guille/ms.js"
"ms@0.7.3","MIT","https://github.com/zeit/ms"
"ms@2.0.0","MIT","https://github.com/zeit/ms"
"ms@2.1.1","MIT","https://github.com/zeit/ms"
"needle@2.2.1","MIT","https://github.com/tomas/needle"
"negotiator@0.6.2","MIT","https://github.com/jshttp/negotiator"
"oauth-sign@0.9.0","Apache-2.0","https://github.com/mikeal/oauth-sign"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"on-finished@2.1.0","MIT","https://github.com/jshttp/on-finished"
"on-finished@2.3.0","MIT","https://github.com/jshttp/on-finished"
"on-headers@1.0.2","MIT","https://github.com/jshttp/on-headers"
"p5@0.8.0","LGPL-2.1","https://github.com/processing/p5.js"
"parseurl@1.3.3","MIT","https://github.com/pillarjs/parseurl"
"path-to-regexp@0.1.7","MIT","https://github.com/component/path-to-regexp"
"performance-now@2.1.0","MIT","https://github.com/braveg1rl/performance-now"
"popper.js@1.15.0","MIT","https://github.com/FezVrasta/popper.js"
"prismjs@1.17.1","MIT","https://github.com/LeaVerou/prism"
"process-nextick-args@2.0.1","MIT","https://github.com/calvinmetcalf/process-nextick-args"
"prop-types@15.7.2","MIT","https://github.com/facebook/prop-types"
"proxy-addr@2.0.5","MIT","https://github.com/jshttp/proxy-addr"
"psl@1.1.33","MIT","https://github.com/wrangr/psl"
"punycode@1.4.1","MIT","https://github.com/bestiejs/punycode.js"
"punycode@2.1.1","MIT","https://github.com/bestiejs/punycode.js"
"q-foreach@0.0.3","MIT*",""
"q@1.1.2","MIT","https://github.com/kriskowal/q"
"qs@2.2.4","BSD","https://github.com/hapijs/qs"
"qs@6.5.2","BSD-3-Clause","https://github.com/ljharb/qs"
"qs@6.7.0","BSD-3-Clause","https://github.com/ljharb/qs"
"querystring@0.2.0","MIT","https://github.com/Gozala/querystring"
"range-parser@1.2.1","MIT","https://github.com/jshttp/range-parser"
"raw-body@1.3.0","MIT","https://github.com/stream-utils/raw-body"
"raw-body@2.4.0","MIT","https://github.com/stream-utils/raw-body"
"react-is@16.8.6","MIT","https://github.com/facebook/react"
"react-plotly.js@2.3.0","MIT","https://github.com/plotly/react-plotly.js"
"readable-stream@1.0.34","MIT","https://github.com/isaacs/readable-stream"
"readable-stream@2.3.6","MIT","https://github.com/nodejs/readable-stream"
"request@2.88.0","Apache-2.0","https://github.com/request/request"
"rw@1.3.3","BSD-3-Clause","https://github.com/mbostock/rw"
"safe-buffer@5.1.1","MIT","https://github.com/feross/safe-buffer"
"safe-buffer@5.1.2","MIT","https://github.com/feross/safe-buffer"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer"
"sax@1.2.4","ISC","https://github.com/isaacs/sax-js"
"select@1.1.2","MIT","https://github.com/zenorocha/select"
"semver@4.3.6","ISC","https://github.com/npm/node-semver"
"semver@5.0.3","ISC","https://github.com/npm/node-semver"
"send@0.16.2","MIT","https://github.com/pillarjs/send"
"send@0.17.1","MIT","https://github.com/pillarjs/send"
"serve-favicon@2.5.0","MIT","https://github.com/expressjs/serve-favicon"
"serve-static@1.14.1","MIT","https://github.com/expressjs/serve-static"
"setprototypeof@1.1.0","ISC","https://github.com/wesleytodd/setprototypeof"
"setprototypeof@1.1.1","ISC","https://github.com/wesleytodd/setprototypeof"
"should-equal@0.5.0","MIT","https://github.com/shouldjs/equal"
"should-format@0.3.1","MIT","https://github.com/shouldjs/format"
"should-type@0.2.0","MIT","https://github.com/shouldjs/type"
"should@7.1.1","MIT","https://github.com/shouldjs/should.js"
"sigmund@1.0.1","ISC","https://github.com/isaacs/sigmund"
"spin.js@4.0.0","MIT","https://github.com/fgnass/spin.js"
"sshpk@1.16.1","MIT","https://github.com/joyent/node-sshpk"
"statuses@1.4.0","MIT","https://github.com/jshttp/statuses"
"statuses@1.5.0","MIT","https://github.com/jshttp/statuses"
"string_decoder@0.10.31","MIT","https://github.com/rvagg/string_decoder"
"string_decoder@1.1.1","MIT","https://github.com/nodejs/string_decoder"
"supports-color@1.2.0","MIT","https://github.com/sindresorhus/supports-color"
"through2@2.0.5","MIT","https://github.com/rvagg/through2"
"tiny-emitter@2.1.0","MIT","https://github.com/scottcorgan/tiny-emitter"
"to-iso-string@0.0.2","MIT","https://github.com/segmentio/to-iso-string"
"toidentifier@1.0.0","MIT","https://github.com/component/toidentifier"
"tough-cookie@2.4.3","BSD-3-Clause","https://github.com/salesforce/tough-cookie"
"tunnel-agent@0.6.0","Apache-2.0","https://github.com/mikeal/tunnel-agent"
"tweetnacl@0.14.5","Unlicense","https://github.com/dchest/tweetnacl-js"
"type-detect@0.1.1","MIT","https://github.com/chaijs/type-detect"
"type-detect@1.0.0","MIT","https://github.com/chaijs/type-detect"
"type-is@1.5.7","MIT","https://github.com/jshttp/type-is"
"type-is@1.6.18","MIT","https://github.com/jshttp/type-is"
"unpipe@1.0.0","MIT","https://github.com/stream-utils/unpipe"
"uri-js@4.2.2","BSD-2-Clause","https://github.com/garycourt/uri-js"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"utils-merge@1.0.1","MIT","https://github.com/jaredhanson/utils-merge"
"uuid@3.3.2","MIT","https://github.com/kelektiv/node-uuid"
"vary@1.1.2","MIT","https://github.com/jshttp/vary"
"verror@1.10.0","MIT","https://github.com/davepacheco/node-verror"
"wait.for@0.6.6","MIT*","https://github.com/luciotato/waitfor"
"xtend@4.0.2","MIT","https://github.com/Raynos/xtend"